Path,Model,Accuracy,Fuzzy Accuracy,Jaccard Accuracy,Vending Machine Type,Correct,Incorrect,Fuzzy Correct,Fuzzy Incorrect,Brand Matrix,Parametrized
../photosv2/711_Sodas_Stickers.png,GPT-4,0.1454545454545454,0.2545454545454545,0.25,correctBrands8,"{'Pepsi', 'Sprite', 'Mountain Dew', 'A&W'}","{'Minute Made', 'Starry', 'Liquid Death', 'Mountain Dew', 'Coca Cola', 'Pepsi', 'Unknown', 'A&W', 'Canada Dry'}","{'Sprite', 'Mountain Dew', 'Coca Cola', 'Pepsi', 'A&W'}","{'Minute Made', 'Starry', 'Liquid Death', 'Mountain Dew', 'Coca Cola', 'Unknown', 'A&W', 'Canada Dry'}","[['Sprite', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Pepsi', 'Pepsi'], ['A&W', 'Dasani', 'Mountain Dew', 'Mountain Dew', 'Mountain Dew', 'Sierra Mist'], ['Mountain Dew', 'Pepsi', 'Dasani', 'Pepsi', 'Pepsi', 'Pepsi'], ['Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola'], ['Coca-Cola', 'Fanta', 'Minute Maid', 'Coca-Cola', 'Dr Pepper', 'Coca-Cola'], ['Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Coca-Cola']]",False
../photosv2/711_Sodas.png,GPT-4,0.3877551020408163,0.5306122448979592,0.25,correctBrands9,"{'Gatorade', 'Unknown'}","{'Body Armor', 'Gatorade', 'Replenish'}","{'Body Armor', 'Gatorade', 'Unknown'}","{'Body Armor', 'Gatorade', 'Replenish'}","[['Gatorade Zero', 'Gatorade Zero', 'Gatorade Zero', 'Unknown', 'Unknown', 'Unknown'], ['BodyArmor', 'BodyArmor', 'BodyArmor', 'BodyArmor', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade']]",False
../photosv2/drinks2.png,GPT-4,0.7857142857142857,0.8571428571428571,0.5238095238095238,correctBrands1,"{'Lone Star', 'Poland Spring', 'Cutwater', 'Mango Mosaic', 'Aunt Sally', 'Guinness', 'Pabst Blue Ribbon', '7UP', 'Boylan', 'Unknown'}","{'House Wine', 'Coca Cola', 'Hanalei Island'}","{'Lone Star', 'Poland Spring', 'Cutwater', 'Mango Mosaic', 'Coca Cola', 'Aunt Sally', 'Pabst Blue Ribbon', '7UP', 'Guinness', 'Boylan', 'Unknown'}","{'House Wine', 'Hanalei Island'}","[['Coca-Cola', '7UP', 'Unknown', 'Pabst Blue Ribbon', 'Cutwater', 'Cutwater', 'Cutwater', 'House Wine'], ['Aunt Sally', 'Guinness', 'Lone Star', 'Shiner', 'Mango Mosaic', 'Poland Spring', 'Boylan'], ['Schweppes', 'Schweppes', 'Canada Dry', 'Red Bull', 'San Pellegrino', 'Unknown', 'Draak', 'Red Stripe']]",False
../photosv2/Jasons_Water.png,GPT-4,0.05,0.15,0.1111111111111111,correctBrands11,{'Liquid Death'},"{'Poland Spring', 'Voss', 'Fiji', 'Liquid Death', 'Propel', 'Life Water', 'Smart Water', 'Aquafina'}","{'Fiji', 'Liquid Death'}","{'Poland Spring', 'Voss', 'Fiji', 'Liquid Death', 'Propel', 'Life Water', 'Smart Water', 'Aquafina'}","[['FIJI', 'Unknown', 'Liquid Death', 'Poland Spring', 'Poland Spring'], ['Ascentia', 'Ascentia', 'Poland Spring', 'LIFEWTR', 'smartwater', 'PATH'], ['Ascentia', 'Ascentia', 'FIJI', 'FIJI', 'ACTIVIA'], ['Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring']]",False
../photosv2/711_Juice.png,GPT-4,0.3035714285714285,0.3035714285714285,0.3,correctBrands7,"{'Pure Leaf', 'ITO EN', 'Unknown'}","{'Minute Made', 'Arizona', 'ITO EN', 'Liquid Death', 'Arnold Palmer', 'Unknwon', 'Yerba Mate'}","{'Pure Leaf', 'ITO EN', 'Unknown'}","{'Minute Made', 'Arizona', 'ITO EN', 'Liquid Death', 'Arnold Palmer', 'Unknwon', 'Yerba Mate'}","[['Unknown', 'Unknown', 'Guayaki', 'Guayaki', 'Guayaki', 'Guayaki', 'Guayaki'], ['Unknown', 'Unknown', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']]",False
../photosv2/711_Beer.png,GPT-4,0.36,0.48,0.4117647058823529,correctBrands6,"{'Budweiser', 'Great Lakes', 'Lagunitas', 'Bud Light', 'Unknown', 'Blue Point'}","{'Budweiser', 'Juice Bomb IPA', 'Bud Light', 'Allagash White', 'Brooklyn Brewery'}","{'Budweiser', 'Lagunitas', 'Great Lakes', 'Bud Light', 'Unknown', 'Blue Point', 'Brooklyn Brewery'}","{'Bud Light', 'Juice Bomb IPA', 'Allagash White'}","[['Blue Point', 'Unknown', 'Unknown', 'Brooklyn Lager'], ['Blue Point', 'Lagunitas', 'Great Lakes', 'Great Lakes', 'Allagash'], ['Budweiser', 'Bud Light Lime', 'Bud Light Platinum', 'Bud Light'], ['Budweiser', 'Bud Light', 'Pabst Blue Ribbon', 'Pabst Blue Ribbon'], ['Natural Ice', 'Natural Ice', ""Milwaukee's Best Ice"", ""Milwaukee's Best Ice"", 'High Life', 'High Life']]",False
../photosv2/IMG_2623.png,GPT-4,0.6111111111111112,0.7222222222222222,0.3,correctBrands2,"{'Gatorade', 'Pure Leaf', 'Starbucks'}","{'Lipton', 'Dole', 'Starbucks'}","{'Gatorade', 'Pure Leaf', 'Dole', 'Starbucks'}","{'Lipton', 'Dole', 'Starbucks'}","[['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Starbucks', 'Starbucks', 'Starbucks', 'Starbucks'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Snapple', 'Snapple', 'Snapple', 'Snapple', 'Lemonade', 'Lemonade', 'Snapple', 'Snapple', 'Snapple'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'Aquafina', 'Aquafina', 'Aquafina', 'Aquafina', 'Aquafina']]",False
../photosv2/Jasons_Beer.png,GPT-4,0.4,0.4,0.4,correctBrands10,"{'Sierra Nevada', 'Angry Orchard', 'Unknown'}","{'Sierra Nevada', 'Fat Tire', 'Unknown', 'Voodoo Ranger'}","{'Sierra Nevada', 'Angry Orchard', 'Unknown'}","{'Sierra Nevada', 'Fat Tire', 'Unknown', 'Voodoo Ranger'}","[['Unknown', 'Angry Orchard', 'Angry Orchard', 'Angry Orchard'], ['Unknown', 'Fat Tire', 'New Belgium', 'New Belgium'], ['Sierra Nevada', 'Sierra Nevada', 'Sierra Nevada', 'Unknown'], ['Unknown', 'Heineken', 'Yuengling', 'Samuel Adams', 'Peroni']]",False
../photosv2/711_Sodas_Stickers.png,GPT-4,0.1272727272727272,0.2181818181818181,0.2105263157894736,correctBrands8,"{'Pepsi', 'Sprite', 'Mountain Dew', 'A&W'}","{'Minute Made', 'Starry', 'Liquid Death', 'Mountain Dew', 'Coca Cola', 'Pepsi', 'Unknown', 'A&W', 'Canada Dry'}","{'Sprite', 'Mountain Dew', 'Coca Cola', 'Pepsi', 'A&W'}","{'Minute Made', 'Starry', 'Liquid Death', 'Mountain Dew', 'Coca Cola', 'Unknown', 'A&W', 'Canada Dry'}","[['Sprite', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Pepsi', 'Pepsi'], ['A&W', 'Dasani', 'Mountain Dew', 'Mountain Dew', 'Mountain Dew', 'Sierra Mist'], ['Mountain Dew', 'Pepsi', 'Diet Pepsi', 'Diet Pepsi', 'Pepsi', 'Pepsi'], ['Coca-Cola', 'Coca-Cola', 'Diet Coke', 'Diet Coke', 'Coca-Cola', 'Coca-Cola'], ['Coca-Cola', 'Fanta', 'Lemonade', 'Diet Coke', 'Dr Pepper', 'Cherry Coke'], ['Mountain Dew', 'Pepsi', 'Diet Pepsi', 'Diet Pepsi', 'Pepsi', 'Coca-Cola'], ['Pepsi', 'Pepsi', 'Diet Pepsi', 'Diet Pepsi', 'Pepsi', 'Coca-Cola']]",True
../photosv2/711_Sodas.png,GPT-4,0.5306122448979592,0.6326530612244898,0.5,correctBrands9,"{'Gatorade', 'Unknown', 'Replenish'}","{'Body Armor', 'Gatorade', 'Replenish'}","{'Body Armor', 'Gatorade', 'Unknown', 'Replenish'}","{'Body Armor', 'Gatorade', 'Replenish'}","[['Gatorade Zero', 'Gatorade', 'Gatorade', 'Electrolit', 'Electrolit', 'Unknown'], ['BodyArmor', 'BodyArmor', 'BodyArmor', 'BodyArmor', 'Unknown', 'Unknown'], ['Replenish', 'Replenish', 'Replenish', 'Replenish', 'Replenish', 'Unknown'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade']]",True
../photosv2/drinks2.png,GPT-4,0.6428571428571429,0.7857142857142857,0.4090909090909091,correctBrands1,"{'House Wine', 'Poland Spring', 'Mango Mosaic', 'Aunt Sally', 'Guinness', 'Pabst Blue Ribbon', '7UP', 'Boylan', 'Unknown'}","{'Lone Star', 'Cutwater', 'Coca Cola', 'Hanalei Island'}","{'House Wine', 'Lone Star', 'Poland Spring', 'Mango Mosaic', 'Coca Cola', 'Aunt Sally', 'Pabst Blue Ribbon', '7UP', 'Guinness', 'Boylan', 'Unknown'}","{'Cutwater', 'Hanalei Island'}","[['Coca-Cola', '7UP', 'Unknown', 'Pabst Blue Ribbon', 'Bloody Mary', 'Fugu Vodka Mule', 'House Wine'], ['Aunt Sally', 'Guinness', 'Lone Star Beer', 'Unknown', 'Mango Mosaic', 'Poland Spring', 'Boylan'], ['Schweppes', 'Schweppes', 'Canada Dry', 'Red Bull', 'S.Pellegrino', 'Unknown', 'Red Stripe']]",True
../photosv2/Jasons_Water.png,GPT-4,0.15,0.3,0.125,correctBrands11,"{'Poland Spring', 'Liquid Death'}","{'Voss', 'Fiji', 'Liquid Death', 'Propel', 'Life Water', 'Smart Water', 'Action', 'Aquafina'}","{'Poland Spring', 'Fiji', 'Liquid Death', 'Smart Water', 'Action'}","{'Voss', 'Fiji', 'Liquid Death', 'Propel', 'Life Water', 'Smart Water', 'Aquafina'}","[['FIJI', 'Unknown', 'Liquid Death', 'Poland Spring', 'Poland Spring', 'Poland Spring'], ['Unknown', 'Unknown', 'Unknown', 'Poland Spring', 'LIFEWTR', 'smartwater'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['smartwater', 'Poland Spring', 'FIJI', 'FIJI', 'Unknown', 'ACTIVIA'], ['Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring', 'Unknown', 'Unknown']]",True
